Link,Description,Trimmed Filename
https://youtu.be/MjEGB2Eu21I?si=edsjAbTeuU-5X7p9,the youtube challenge,MjEGB2Eu21I_podcast_female_0010_0110
https://youtu.be/78Z0d9XZ590?si=XegrWComQ2Bxajou,new home,78Z0d9XZ590_podcast_female_0010_0110
https://youtu.be/LlCqj0CnEhQ?si=KLru8QTKPWIwpHg3,i hate war,LlCqj0CnEhQ_podcast_female_0010_0110
https://youtu.be/5cgoVlZwN5Y?si=h22ttDeqyDQFsarH,dubai tour,5cgoVlZwN5Y_podcast_female_0010_0110
https://youtu.be/QvZtb8ly3HE?si=ENXTE2dSB0Wuq1JC,new year's day,QvZtb8ly3HE_podcast_female_0010_0110
https://youtu.be/AqkSl4FW63Q?si=__xbGzfqreKfh5X6,language club,AqkSl4FW63Q_podcast_female_0010_0110
https://youtu.be/JXW-Nwvpm_k?si=npDE9SdWstn1X-VP,"save food, save life",JXW-Nwvpm_k_podcast_female_0010_0110
https://youtu.be/X48DLzfQUi0?si=Pv-o5E8eFl69cK9v,my son is sick,X48DLzfQUi0_podcast_female_0010_0110
https://youtu.be/VFoZ8Wwkh-k?si=kyFXrFnSL9U4HfAN,dentist,VFoZ8Wwkh-k_podcast_female_0010_0110
https://youtu.be/7CHTACjXZpc?si=NUNjnGDUPdb6vgXW,a day in the life ò anna,7CHTACjXZpc_podcast_female_0010_0110
https://youtu.be/pm8XsyeTsqA?si=_k4_uIW22ZJlKmZq,going to a supermarket,pm8XsyeTsqA_podcast_female_0010_0110
https://youtu.be/TCzGbq0TexY?si=tl41A48xXxyNd9GD,going to the zoo,TCzGbq0TexY_podcast_female_0010_0110
https://youtu.be/EylpOiAIHeA?si=7zuZVj3Oi65PdAnm,the sunflower & the storm,EylpOiAIHeA_podcast_female_0010_0110
https://youtu.be/5QCIArjCasI?si=jiAHRzDQGpV5CFMK,anna's weekend,5QCIArjCasI_podcast_female_0010_0110
https://youtu.be/Fz0zKEwVw7g?si=g0bBsFm-mQgXI2t_,the magical seasons of greenwood,Fz0zKEwVw7g_podcast_female_0010_0110
https://youtu.be/TM_WGwF9WOo?si=cxGGKASaGTLNxefl,why do people dislike other people,TM_WGwF9WOo_podcast_female_0010_0110
https://youtu.be/o5E0ZUWyh98?si=cxWTf2AwBHwlxzf0,renting an apartment,o5E0ZUWyh98_podcast_female_0010_0110
https://youtu.be/AGW5wMkd20c?si=Rf-SpTiP8BYDi2VQ,the best teacher,AGW5wMkd20c_podcast_female_0010_0110
https://youtu.be/58iD_b3ng70?si=320uhqDYHD8jl6li,How to Introduce Yourself,58iD_b3ng70_podcast_female_0110_0210
https://youtu.be/HCkgWRDyA0I?si=iOo8rOVEjP2NEHF5,london tour,HCkgWRDyA0I_podcast_female_0110_0210
https://youtu.be/K8jjopmFCcQ?si=cB9ODwyIONdWsQau,my day,K8jjopmFCcQ_podcast_female_0110_0210
https://youtu.be/1RmTc8Vr4Mg?si=82C3BpR7Y5YAvI3v,my best friend,1RmTc8Vr4Mg_podcast_female_0110_0210
https://youtu.be/3XDUDvCW444?si=RMXyq2RdLl_d-_mt,first movie,3XDUDvCW444_podcast_female_0110_0210
https://www.youtube.com/watch?v=lDJeOoI52S8&t=146s,a day in the lìe,lDJeOoI52S8_podcast_female_0110_0210
https://youtu.be/EpQEHlxONS8?si=BOJ5CjwpIy9N8bjX,chiken and fox,EpQEHlxONS8_podcast_female_0110_0210
https://youtu.be/MjEGB2Eu21I?si=edsjAbTeuU-5X7p9,the youtube challenge,MjEGB2Eu21I_podcast_female_0110_0210
https://youtu.be/78Z0d9XZ590?si=XegrWComQ2Bxajou,new home,78Z0d9XZ590_podcast_female_0110_0210
https://youtu.be/LlCqj0CnEhQ?si=KLru8QTKPWIwpHg3,i hate war,LlCqj0CnEhQ_podcast_female_0110_0210
https://youtu.be/5cgoVlZwN5Y?si=h22ttDeqyDQFsarH,dubai tour,5cgoVlZwN5Y_podcast_female_0110_0210
https://youtu.be/QvZtb8ly3HE?si=ENXTE2dSB0Wuq1JC,new year's day,QvZtb8ly3HE_podcast_female_0110_0210
https://youtu.be/AqkSl4FW63Q?si=__xbGzfqreKfh5X6,language club,AqkSl4FW63Q_podcast_female_0110_0210
https://youtu.be/JXW-Nwvpm_k?si=npDE9SdWstn1X-VP,"save food, save life",JXW-Nwvpm_k_podcast_female_0110_0210
https://youtu.be/X48DLzfQUi0?si=Pv-o5E8eFl69cK9v,my son is sick,X48DLzfQUi0_podcast_female_0110_0210
https://youtu.be/VFoZ8Wwkh-k?si=kyFXrFnSL9U4HfAN,dentist,VFoZ8Wwkh-k_podcast_female_0110_0210
https://youtu.be/7CHTACjXZpc?si=NUNjnGDUPdb6vgXW,a day in the life ò anna,7CHTACjXZpc_podcast_female_0110_0210
https://youtu.be/pm8XsyeTsqA?si=_k4_uIW22ZJlKmZq,going to a supermarket,pm8XsyeTsqA_podcast_female_0110_0210
https://youtu.be/TCzGbq0TexY?si=tl41A48xXxyNd9GD,going to the zoo,TCzGbq0TexY_podcast_female_0110_0210
https://youtu.be/EylpOiAIHeA?si=7zuZVj3Oi65PdAnm,the sunflower & the storm,EylpOiAIHeA_podcast_female_0110_0210
https://youtu.be/5QCIArjCasI?si=jiAHRzDQGpV5CFMK,anna's weekend,5QCIArjCasI_podcast_female_0110_0210
https://youtu.be/Fz0zKEwVw7g?si=g0bBsFm-mQgXI2t_,the magical seasons of greenwood,Fz0zKEwVw7g_podcast_female_0110_0210
https://youtu.be/TM_WGwF9WOo?si=cxGGKASaGTLNxefl,why do people dislike other people,TM_WGwF9WOo_podcast_female_0110_0210
https://youtu.be/o5E0ZUWyh98?si=cxWTf2AwBHwlxzf0,renting an apartment,o5E0ZUWyh98_podcast_female_0110_0210
https://youtu.be/AGW5wMkd20c?si=Rf-SpTiP8BYDi2VQ,the best teacher,AGW5wMkd20c_podcast_female_0110_0210
https://www.youtube.com/watch?v=NHopJHSlVo4,Hãy giữ những mục tiêu cho riêng mình,NHopJHSlVo4_speech_male_0015_0305
https://www.youtube.com/watch?v=UNP03fDSj1U,Làm điều gì đó mới trong 30 ngày,UNP03fDSj1U_speech_male_0016_0316
https://www.youtube.com/watch?v=1aA1WGON49E,Thời đại kỹ thuật số,1aA1WGON49E_speech_male_0000_0120
https://www.youtube.com/watch?v=EBGb40yh4SY,Khẳng định ước mơ của bạn,EBGb40yh4SY_speech_male_0016_0155
https://www.youtube.com/watch?v=i5Q02YX2VTw,Hãy tin vào chính mình,i5Q02YX2VTw_speech_male_0000_0100
https://www.youtube.com/watch?v=4FDud9Lj5HY,Thế giới cần bạn nhiều hơn,4FDud9Lj5HY_speech_female_0000_0100
https://www.youtube.com/watch?v=1j0X9QMF--M,Thất nghiệp không đáng sợ như bạn nghĩ,1j0X9QMF--M_speech_male_0000_0054
https://www.youtube.com/watch?v=RSSTfrRJo9M,Động lực để thành công,RSSTfrRJo9M_speech_male_0000_0138
https://www.youtube.com/watch?v=KxvPR0cd3-k,Cuộc sống là gì,KxvPR0cd3-k_speech_female_0000_0100
https://www.youtube.com/watch?v=gXwewPgLmkE,Làm thế nào để khai phá tiềm năng của sinh viên mới ra trường,gXwewPgLmkE_speech_male_0010_0105
https://www.youtube.com/watch?v=0en9b__NvFI,Yêu bản thân,0en9b__NvFI_speech_female_0000_0100
https://www.youtube.com/watch?v=VJCXwxvLNkY,Nhận liều động lực hàng ngày của bạn,VJCXwxvLNkY_speech_male_0000_0126
https://www.youtube.com/watch?v=gnJv0UdOC-Q,Cảm hứng của Elon Musk,gnJv0UdOC-Q_speech_male_0000_0126
https://www.youtube.com/watch?v=A1chqdczNxw,Bạn nợ bạn - Hãy tiếp tục mài giũa và không bao giờ bỏ cuộc,A1chqdczNxw_speech_male_0000_0130
https://www.youtube.com/watch?v=BbyIg1d_DYY,Những lời khuyên của Jack Ma sẽ thay đổi cuộc sống của bạn,BbyIg1d_DYY_speech_male_0000_0130
https://www.youtube.com/watch?v=TFnJFaWwlbs,Không gì là dễ dàng,TFnJFaWwlbs_speech_male_0000_0100
https://www.youtube.com/watch?v=Wl8WP_L2j88,Đừng sợ thất bại,Wl8WP_L2j88_speech_male_0000_0100
https://www.youtube.com/watch?v=r65bVLkRNz4,Đừng từ bỏ,r65bVLkRNz4_speech_male_0000_0100
https://www.youtube.com/watch?v=PTo9e3ILmms,Niềm tin và Hiệu suất,PTo9e3ILmms_speech_male_0000_0130
https://www.youtube.com/watch?v=1_5kYxYuRy8,Nó vẫn chưa kết thúc cho đến khi tôi thắng.,1_5kYxYuRy8_speech_male_0000_0130
https://www.youtube.com/watch?v=yt-aM2SKLOg,Ước mơ không có mục tiêu chỉ là ước mơ,yt-aM2SKLOg_speech_male_0000_0130
https://www.youtube.com/watch?v=lzILoMjEpaE,Người thành công cũng có thất bại,lzILoMjEpaE_speech_male_0000_0100
https://www.youtube.com/watch?v=tt4DFUmoM2o,"NẾU BẠN KHÔNG THẤT BẠI, BẠN ĐỪNG CỐ GẮNG",tt4DFUmoM2o_speech_male_0000_0100
https://www.youtube.com/watch?v=zkczDkbaE68,Tin tưởng vào bản thân,zkczDkbaE68_speech_female_0000_0130
https://www.youtube.com/watch?v=G9xZC6CJ1qs,Động lực cuộc sống,G9xZC6CJ1qs_speech_female_0000_0100
https://www.youtube.com/watch?v=5zixvl7j93E,dạy trẻ sáng tạo,5zixvl7j93E_speech_male_0000_0050
https://www.youtube.com/watch?v=b1I0AP28qy0,Kỹ năng giao tiếp,b1I0AP28qy0_speech_male_0000_0040
https://www.youtube.com/watch?v=O-YE70WUXhM,7 lời khuyên để thành công trong sự nghiệp,O-YE70WUXhM_speech_male_0100_0200
https://www.youtube.com/watch?v=zP9jpxitfb4,Điều gì tạo nên những đội có thành tích cao nhất thế giới,zP9jpxitfb4_speech_male_0000_0100
https://www.youtube.com/watch?v=1aA1WGON49E,Thời đại kỹ thuật số,1aA1WGON49E_speech_male_0010_0120
https://www.youtube.com/watch?v=n_skSkvuDXc,Mắc lỗi sẽ giúp bộ nào phát triển hơn,n_skSkvuDXc_speech_female_0000_0100
https://www.youtube.com/watch?v=6QuP0kW5UUs,ĐỒNG HÀNH LÀ GÌ,6QuP0kW5UUs_speech_male_0000_0100
https://www.youtube.com/watch?v=LlT3O7DdDRM,Làm thế nào để biết mục đích cuộc sống của bạn,LlT3O7DdDRM_speech_male_0000_0130
https://www.youtube.com/watch?v=4cdATVG8UbM,Làm thế nào để lãng phí 1 phút cuộc đời bạn,4cdATVG8UbM_speech_male_0000_0100
https://www.youtube.com/watch?v=dXOXjT1krIA,Chiến tranh và hòa bình,dXOXjT1krIA_speech_male_0000_0130
https://www.youtube.com/watch?v=-4SrLmSxCLg,Chiến tranh và hòa bình,-4SrLmSxCLg_speech_female_0000_0130
https://www.youtube.com/watch?v=GVCoD2lVHUw,Động lực của nhiều người là nói trước khi nghĩ.,GVCoD2lVHUw_speech_female_0000_0100
https://www.youtube.com/watch?v=m1EnHtGS698,Những gì chúng tôi tin,m1EnHtGS698_speech_female_0000_0100
https://www.youtube.com/watch?v=CR0SQXe0p_Y,Thành công thực sự là gì?,CR0SQXe0p_Y_speech_female_0000_0100
https://www.youtube.com/watch?v=nL5RIh44UqQ,bạn làm việc chăm chỉ để kiếm tiền,nL5RIh44UqQ_speech_female_0000_0030
https://www.youtube.com/watch?v=DoA-a-g2o4g,CHÚA CÓ KẾ HOẠCH CHO BẠN,DoA-a-g2o4g_speech_male_0000_0100
https://www.youtube.com/watch?v=pQCF3PtAaSg,"Nếu chúng ta không thay đổi cách dạy, ba mươi năm nữa chúng ta sẽ gặp rắc rối.",pQCF3PtAaSg_speech_male_0000_0030
https://www.youtube.com/watch?v=1OnkNzuZxA0,một người muốn thành công thì họ phải có chỉ số EQ cao.,1OnkNzuZxA0_speech_male_0000_0040
https://www.youtube.com/watch?v=xqn7YaLNqd4,xác định lại 'Thất bại',xqn7YaLNqd4_speech_male_0000_0100
https://www.youtube.com/watch?v=1ZhzYqZArGE,thất bại và thành công,1ZhzYqZArGE_speech_male_0000_0100
https://www.youtube.com/watch?v=Xm1T-2xacGc,bạn phải biết ơn mọi thứ bạn đã có,Xm1T-2xacGc_speech_male_0000_0100
https://www.youtube.com/watch?v=mZTR_Oy8zo0,đừng đầu tư bản thân vào những người không phù hợp,mZTR_Oy8zo0_speech_female_0000_0030
https://www.youtube.com/watch?v=7dJhjUubJ8M,con người có thể làm được mọi thứ,7dJhjUubJ8M_speech_female_0000_0030
https://www.youtube.com/watch?v=vcs2al21BOE,điều gì khiến bạn trở nên hoàn hảo,vcs2al21BOE_speech_female_0000_0050
https://www.youtube.com/watch?v=geYZ8RHJwGo,những điều quan trọng nhất trong lãnh đạo,geYZ8RHJwGo_speech_male_0000_0100
