,Link,Start time,End time,Nội dung,Label,gender,label,Người làm,count,Target
52,https://youtu.be/Fz0zKEwVw7g?si=g0bBsFm-mQgXI2t_,00:10,01:10,the magical seasons of greenwood,podcast,female,,,,
53,https://youtu.be/TM_WGwF9WOo?si=cxGGKASaGTLNxefl,00:10,01:10,why do people dislike other people,podcast,female,,,,
54,https://youtu.be/o5E0ZUWyh98?si=cxWTf2AwBHwlxzf0,00:10,01:10,renting an apartment,podcast,female,,,,
55,https://youtu.be/AGW5wMkd20c?si=Rf-SpTiP8BYDi2VQ,00:10,01:10,the best teacher,podcast,female,,,,
56,https://youtu.be/58iD_b3ng70?si=320uhqDYHD8jl6li,01:10,02:10,How to Introduce Yourself,podcast,female,,,,
57,https://youtu.be/HCkgWRDyA0I?si=iOo8rOVEjP2NEHF5,01:10,02:10,london tour,podcast,female,,,,
58,https://youtu.be/K8jjopmFCcQ?si=cB9ODwyIONdWsQau,01:10,02:10,my day,podcast,female,,,,
59,https://youtu.be/1RmTc8Vr4Mg?si=82C3BpR7Y5YAvI3v,01:10,02:10,my best friend,podcast,female,,,,
60,https://youtu.be/3XDUDvCW444?si=RMXyq2RdLl_d-_mt,01:10,02:10,first movie,podcast,female,,,,
61,https://www.youtube.com/watch?v=lDJeOoI52S8&t=146s,01:10,02:10,a day in the lìe,podcast,female,,,,
62,https://youtu.be/EpQEHlxONS8?si=BOJ5CjwpIy9N8bjX,01:10,02:10,chiken and fox,podcast,female,,,,
63,https://youtu.be/MjEGB2Eu21I?si=edsjAbTeuU-5X7p9,01:10,02:10,the youtube challenge,podcast,female,,,,
64,https://youtu.be/78Z0d9XZ590?si=XegrWComQ2Bxajou,01:10,02:10,new home,podcast,female,,,,
65,https://youtu.be/LlCqj0CnEhQ?si=KLru8QTKPWIwpHg3,01:10,02:10,i hate war,podcast,female,,,,
66,https://youtu.be/5cgoVlZwN5Y?si=h22ttDeqyDQFsarH,01:10,02:10,dubai tour,podcast,female,,,,
67,https://youtu.be/QvZtb8ly3HE?si=ENXTE2dSB0Wuq1JC,01:10,02:10,new year's day,podcast,female,,,,
68,https://youtu.be/AqkSl4FW63Q?si=__xbGzfqreKfh5X6,01:10,02:10,language club,podcast,female,,,,
69,https://youtu.be/JXW-Nwvpm_k?si=npDE9SdWstn1X-VP,01:10,02:10,"save food, save life",podcast,female,,,,
70,https://youtu.be/X48DLzfQUi0?si=Pv-o5E8eFl69cK9v,01:10,02:10,my son is sick,podcast,female,,,,
71,https://youtu.be/VFoZ8Wwkh-k?si=kyFXrFnSL9U4HfAN,01:10,02:10,dentist,podcast,female,,,,
72,https://youtu.be/7CHTACjXZpc?si=NUNjnGDUPdb6vgXW,01:10,02:10,a day in the life ò anna,podcast,female,,,,
73,https://youtu.be/pm8XsyeTsqA?si=_k4_uIW22ZJlKmZq,01:10,02:10,going to a supermarket,podcast,female,,,,
74,https://youtu.be/TCzGbq0TexY?si=tl41A48xXxyNd9GD,01:10,02:10,going to the zoo,podcast,female,,,,
75,https://youtu.be/EylpOiAIHeA?si=7zuZVj3Oi65PdAnm,01:10,02:10,the sunflower & the storm,podcast,female,,,,
76,https://youtu.be/5QCIArjCasI?si=jiAHRzDQGpV5CFMK,01:10,02:10,anna's weekend,podcast,female,,,,
77,https://youtu.be/Fz0zKEwVw7g?si=g0bBsFm-mQgXI2t_,01:10,02:10,the magical seasons of greenwood,podcast,female,,,,
78,https://youtu.be/TM_WGwF9WOo?si=cxGGKASaGTLNxefl,01:10,02:10,why do people dislike other people,podcast,female,,,,
79,https://youtu.be/o5E0ZUWyh98?si=cxWTf2AwBHwlxzf0,01:10,02:10,renting an apartment,podcast,female,,,,
80,https://youtu.be/AGW5wMkd20c?si=Rf-SpTiP8BYDi2VQ,01:10,02:10,the best teacher,podcast,female,,,,
81,https://www.youtube.com/watch?v=NHopJHSlVo4,00:15,03:05,Hãy giữ những mục tiêu cho riêng mình,speech,male,,,,
82,https://www.youtube.com/watch?v=UNP03fDSj1U,00:16,03:16,Làm điều gì đó mới trong 30 ngày,speech,male,,,,
83,https://www.youtube.com/watch?v=1aA1WGON49E,00:00,01:20,Thời đại kỹ thuật số,speech,male,,,,
84,https://www.youtube.com/watch?v=EBGb40yh4SY,00:16,01:55,Khẳng định ước mơ của bạn,speech,male,,,,
85,https://www.youtube.com/watch?v=i5Q02YX2VTw,00:00,01:00,Hãy tin vào chính mình,speech,male,,,,
86,https://www.youtube.com/watch?v=4FDud9Lj5HY,00:00,01:00,Thế giới cần bạn nhiều hơn,speech,female,,,,
87,https://www.youtube.com/watch?v=1j0X9QMF--M,00:00,00:54,Thất nghiệp không đáng sợ như bạn nghĩ,speech,male,,,,
88,https://www.youtube.com/watch?v=RSSTfrRJo9M,00:00,01:38,Động lực để thành công,speech,male,,,,
89,https://www.youtube.com/watch?v=KxvPR0cd3-k,00:00,01:00,Cuộc sống là gì,speech,female,,,,
90,https://www.youtube.com/watch?v=gXwewPgLmkE,00:10,01:05,Làm thế nào để khai phá tiềm năng của sinh viên mới ra trường,speech,male,,,,
91,https://www.youtube.com/watch?v=0en9b__NvFI,00:00,01:00,Yêu bản thân,speech,female,,,,
92,https://www.youtube.com/watch?v=VJCXwxvLNkY,00:00,01:26,Nhận liều động lực hàng ngày của bạn,speech,male,,,,
93,https://www.youtube.com/watch?v=gnJv0UdOC-Q,00:00,01:26,Cảm hứng của Elon Musk,speech,male,,,,
94,https://www.youtube.com/watch?v=A1chqdczNxw,00:00,01:30,Bạn nợ bạn - Hãy tiếp tục mài giũa và không bao giờ bỏ cuộc,speech,male,,,,
95,https://www.youtube.com/watch?v=BbyIg1d_DYY,00:00,01:30,Những lời khuyên của Jack Ma sẽ thay đổi cuộc sống của bạn,speech,male,,,,
96,https://www.youtube.com/watch?v=TFnJFaWwlbs,00:00,01:00,Không gì là dễ dàng,speech,male,,,,
97,https://www.youtube.com/watch?v=Wl8WP_L2j88,00:00,01:00,Đừng sợ thất bại,speech,male,,,,
98,https://www.youtube.com/watch?v=r65bVLkRNz4,00:00,01:00,Đừng từ bỏ,speech,male,,,,
99,https://www.youtube.com/watch?v=PTo9e3ILmms,00:00,01:30,Niềm tin và Hiệu suất,speech,male,,,,
100,https://www.youtube.com/watch?v=1_5kYxYuRy8,00:00,01:30,Nó vẫn chưa kết thúc cho đến khi tôi thắng.,speech,male,,,,
101,https://www.youtube.com/watch?v=yt-aM2SKLOg,00:00,01:30,Ước mơ không có mục tiêu chỉ là ước mơ,speech,male,,,,
102,https://www.youtube.com/watch?v=lzILoMjEpaE,00:00,01:00,Người thành công cũng có thất bại,speech,male,,,,
103,https://www.youtube.com/watch?v=tt4DFUmoM2o,00:00,01:00,"NẾU BẠN KHÔNG THẤT BẠI, BẠN ĐỪNG CỐ GẮNG",speech,male,,,,
104,https://www.youtube.com/watch?v=zkczDkbaE68,00:00,01:30,Tin tưởng vào bản thân,speech,female,,,,
105,https://www.youtube.com/watch?v=G9xZC6CJ1qs,00:00,01:00,Động lực cuộc sống,speech,female,,,,
106,https://www.youtube.com/watch?v=5zixvl7j93E,00:00,00:50,dạy trẻ sáng tạo,speech,male,,,,
107,https://www.youtube.com/watch?v=b1I0AP28qy0,00:00,00:40,Kỹ năng giao tiếp,speech,male,,,,
108,https://www.youtube.com/watch?v=O-YE70WUXhM,01:00,02:00,7 lời khuyên để thành công trong sự nghiệp,speech,male,,,,
109,https://www.youtube.com/watch?v=zP9jpxitfb4,00:00,01:00,Điều gì tạo nên những đội có thành tích cao nhất thế giới,speech,male,,,,
110,https://www.youtube.com/watch?v=1aA1WGON49E,00:10,01:20,Thời đại kỹ thuật số,speech,male,,,,
111,https://www.youtube.com/watch?v=n_skSkvuDXc,00:00,01:00,Mắc lỗi sẽ giúp bộ nào phát triển hơn,speech,female,,,,
112,https://www.youtube.com/watch?v=6QuP0kW5UUs,00:00,01:00,ĐỒNG HÀNH LÀ GÌ,speech,male,,,,
113,https://www.youtube.com/watch?v=LlT3O7DdDRM,00:00,01:30,Làm thế nào để biết mục đích cuộc sống của bạn,speech,male,,,,
114,https://www.youtube.com/watch?v=4cdATVG8UbM,00:00,01:00,Làm thế nào để lãng phí 1 phút cuộc đời bạn,speech,male,,,,
115,https://www.youtube.com/watch?v=dXOXjT1krIA,00:00,01:30,Chiến tranh và hòa bình,speech,male,,,,
116,https://www.youtube.com/watch?v=-4SrLmSxCLg,00:00,01:30,Chiến tranh và hòa bình,speech,female,,,,
117,https://www.youtube.com/watch?v=GVCoD2lVHUw,00:00,01:00,Động lực của nhiều người là nói trước khi nghĩ.,speech,female,,,,
118,https://www.youtube.com/watch?v=m1EnHtGS698,00:00,01:00,Những gì chúng tôi tin,speech,female,,,,
119,https://www.youtube.com/watch?v=CR0SQXe0p_Y,00:00,01:00,Thành công thực sự là gì?,speech,female,,,,
120,https://www.youtube.com/watch?v=nL5RIh44UqQ,00:00,00:30,bạn làm việc chăm chỉ để kiếm tiền,speech,female,,,,
121,https://www.youtube.com/watch?v=DoA-a-g2o4g,00:00,01:00,CHÚA CÓ KẾ HOẠCH CHO BẠN,speech,male,,,,
122,https://www.youtube.com/watch?v=pQCF3PtAaSg,00:00,00:30,"Nếu chúng ta không thay đổi cách dạy, ba mươi năm nữa chúng ta sẽ gặp rắc rối.",speech,male,,,,
123,https://www.youtube.com/watch?v=1OnkNzuZxA0,00:00,00:40,một người muốn thành công thì họ phải có chỉ số EQ cao.,speech,male,,,,
124,https://www.youtube.com/watch?v=xqn7YaLNqd4,00:00,01:00,xác định lại 'Thất bại',speech,male,,,,
125,https://www.youtube.com/watch?v=1ZhzYqZArGE,00:00,01:00,thất bại và thành công,speech,male,,,,
126,https://www.youtube.com/watch?v=Xm1T-2xacGc,00:00,01:00,bạn phải biết ơn mọi thứ bạn đã có,speech,male,,,,
127,https://www.youtube.com/watch?v=mZTR_Oy8zo0,00:00,00:30,đừng đầu tư bản thân vào những người không phù hợp,speech,female,,,,
128,https://www.youtube.com/watch?v=7dJhjUubJ8M,00:00,00:30,con người có thể làm được mọi thứ,speech,female,,,,
129,https://www.youtube.com/watch?v=vcs2al21BOE,00:00,00:50,điều gì khiến bạn trở nên hoàn hảo,speech,female,,,,
130,https://www.youtube.com/watch?v=geYZ8RHJwGo,00:00,01:00,những điều quan trọng nhất trong lãnh đạo,speech,male,,,,
